feature,state_importance,intensity_importance,feature_type
text_50,0.03261389,0.0,text
text_46,0.02639565,0.007471663,text
text_36,0.022290234,0.0,text
text_62,0.022191806,0.005464033,text
text_78,0.019229384,0.012055496,text
text_59,0.018730566,0.011879797,text
text_13,0.018040648,0.009926502,text
text_19,0.017694855,0.0,text
text_57,0.017460087,0.014759778,text
text_65,0.017436692,0.013509541,text
text_21,0.017231267,0.010523422,text
text_54,0.016888672,0.014680936,text
text_55,0.01660302,0.011974098,text
text_2,0.015986761,0.0,text
text_1,0.015373031,0.006991365,text
text_60,0.015033107,0.006599324,text
text_28,0.014830137,0.0,text
text_63,0.014577036,0.009704416,text
text_61,0.0145411175,0.0,text
text_42,0.01444499,0.008597891,text
text_70,0.014437961,0.016670484,text
text_92,0.014147324,0.017414067,text
text_74,0.013482356,0.010550982,text
text_9,0.012999809,0.0044472306,text
text_11,0.012647167,0.0031372316,text
text_12,0.0124464985,0.010960374,text
text_90,0.012202407,0.0,text
text_23,0.012139286,0.0,text
text_length,0.0119663635,0.016897295,text
text_18,0.011518824,0.007494905,text
text_85,0.0111823995,0.0123883635,text
text_75,0.010966755,0.0,text
text_20,0.010918907,0.027859079,text
text_71,0.010839963,0.014302618,text
text_45,0.010610235,0.025507774,text
word_count,0.010559172,0.012946387,metadata
text_0,0.0103522325,0.008298816,text
text_97,0.010308544,0.0,text
text_10,0.0100790905,0.029607447,text
text_8,0.010052302,0.010332208,text
text_30,0.010028226,0.008444336,text
text_69,0.0100144055,0.0036902837,text
text_4,0.009922365,0.0053779767,text
text_93,0.009257562,0.009723589,text
text_27,0.009036243,0.011662967,text
text_87,0.008780117,0.008604707,text
text_32,0.008214341,0.018171724,text
text_43,0.008191479,0.009928989,text
text_95,0.00808201,0.013599438,text
text_35,0.008034011,0.011946671,text
text_26,0.007849529,0.0,text
text_51,0.0077290265,0.006243625,text
text_64,0.007590773,0.022358995,text
text_14,0.0075628287,0.0,text
text_67,0.0074147168,0.009375153,text
text_83,0.007409835,0.019244092,text
text_24,0.0072250306,0.008750762,text
text_76,0.007214974,0.011216135,text
text_7,0.0071282843,0.0,text
text_3,0.007024242,0.0,text
stress_energy_gap,0.0069340887,0.019183412,metadata
text_41,0.0068952423,0.007713306,text
text_17,0.006846613,0.009409804,text
sleep_energy_ratio,0.006747128,0.012588333,metadata
text_81,0.0066842046,0.009153056,text
text_99,0.0066604945,0.010295072,text
text_39,0.0066135516,0.012574663,text
text_25,0.0065455497,0.0,text
text_73,0.006411539,0.008148916,text
text_84,0.0063883066,0.010849526,text
text_34,0.0063845124,0.020299148,text
text_94,0.0061863563,0.00125631,text
stress_level,0.006099015,0.013566005,metadata
text_37,0.0060681,0.012191103,text
text_22,0.0060387696,0.00987993,text
reflection_quality,0.006003575,0.013609477,metadata
ambience_type,0.005888087,0.015637487,metadata
text_56,0.0058550523,0.015705409,text
face_emotion_hint,0.005813372,0.008728933,metadata
text_91,0.0057575866,0.014944483,text
text_96,0.0057335803,0.01439842,text
text_33,0.005691176,0.0074941637,text
text_15,0.005638403,0.018694434,text
text_31,0.0055754543,0.0,text
text_5,0.0055612503,0.012308293,text
session_intensity,0.0055532428,0.016260196,metadata
text_29,0.0054655164,0.008642009,text
exhausted,0.0054569095,0.0,metadata
duration_min,0.0053898324,0.008450542,metadata
text_68,0.0053688865,0.0060854806,text
previous_day_mood,0.0053458028,0.009732319,metadata
sleep_hours,0.005305177,0.0070242016,metadata
text_80,0.005286463,0.018036583,text
text_6,0.0052722124,0.010447881,text
energy_level,0.005240699,0.0076603405,metadata
text_53,0.004813252,0.0052470407,text
time_of_day,0.00464685,0.011960705,metadata
text_66,0.0040320223,0.015069515,text
text_16,0.003515649,0.0,text
text_38,0.0035078598,0.0072277435,text
text_58,0.0028559589,0.01367794,text
text_40,0.0027621554,0.009032019,text
text_52,0.0,0.0,text
text_47,0.0,0.015522873,text
text_48,0.0,0.0,text
text_44,0.0,0.0,text
text_49,0.0,0.0,text
text_77,0.0,0.0,text
text_72,0.0,0.0,text
text_82,0.0,0.0,text
text_79,0.0,0.0,text
text_88,0.0,0.0,text
text_89,0.0,0.0,text
text_98,0.0,0.0,text
text_86,0.0,0.0,text
well_rested,0.0,0.0,metadata
is_very_short,0.0,0.0,metadata
